Code;Ativo
EQ0038421400002000;ABEV3
EQ0015976000001000;BBAS3
EQ0013610800001000;BBDC3
EQ0013610800002000;BBDC4
EQ0000000029547895;BBSE3
EQ0141459000002000;BRAP4
EQ0015847700002000;BRKM5
EQ0000000003166012;BRML3
EQ0000000006240309;BVMF3
EQ0722832300001000;CCRO3
EQ0000000003195263;CIEL3
EQ0013610900002000;CMIG4
EQ0000000001337409;CPFE3
EQ0015866700003000;CPLE6
EQ0000000001368717;CSAN3
EQ0015872500001000;CYRE3
EQ0000000003171205;ECOR3
EQ0013611000001000;ELET3
EQ0013611000003000;ELET6
EQ0015875600001000;EMBR3
EQ0000000001773988;ENBR3
EQ0000000002385865;EQTL3
EQ0000000003739784;ESTC3
EQ0015849300001000;FIBR3
EQ0000000009236322;FLRY3
EQ0015872000002000;GGBR4
EQ0015889000002000;GOAU4
EQ0000000003323912;HYPE3
EQ0000000003169877;IGTA3
EQ0015883800002000;ITSA4
EQ0013611200002000;ITUB4
EQ0000000003348380;JBSS3
EQ0081505000001000;KROT3
EQ0015885800002000;LAME4
EQ0021954000001000;BRFS3
EQ0015886100001000;LREN3
EQ0000000001159122;MGLU3
EQ0000000003218260;MRVE3
EQ0000000002711316;MULT3
EQ0093845500001000;NATU3
EQ0017317900002000;PCAR4
EQ0013611400001000;PETR3
EQ0013611400002000;PETR4
EQ0000000017383061;QUAL3
EQ0015874100001000;RADL3
EQ0021922900001000;RENT3
EQ0021905100001001;SBSP3
EQ0000000002927093;TAEE11
EQ0032854600001000;TIMP3
EQ0082524800001000;UGPA3
EQ0015441900002000;USIM5
EQ0013611700001000;VALE3
EQ0032855900002000;VIVT4
EQ0017305500001000;WEGE3
EQ0000000033463192;KLBN11
EQ0015827200001000;CSNA3
EQ0000000008789632;SANB11
EQ0000000032227192;VVAR11
EQ0032830500001000;EGIE3
EQ0000000003470565;MRFG3
EQ0000000055415863;RAIL3
EQ0000000060225966;SMLS3
EQ0000000060709443;SUZB3
EQ0000000061013811;SAPR11
EQ0000000029043851;SMLE3
EQ0015850700002000;SUZB5
